"Quantidade de vendas por dia","listItems.itemsId.keyword: Descending",Count
"2019-06-01",9008,605
"2019-06-01",6012,420
"2019-06-01",1050,152
"2019-06-01",7100023,120
"2019-06-01",6011,119
"2019-06-01",2106,108
"2019-06-01",6013,107
"2019-06-01",1804,99
"2019-06-01",30000,71
"2019-06-01",7900006,71
"2019-06-01",2100,52
"2019-06-01",2700,49
"2019-06-01",7100022,47
"2019-06-01",8000007,46
"2019-06-01",7300001,45
"2019-06-01",9058,45
"2019-06-01",7300014,43
"2019-06-01",1700,39
"2019-06-01",6020,38
"2019-06-01",20006,34
"2019-06-01",7100036,34
"2019-06-01",7300024,32
"2019-06-01",8000013,30
"2019-06-01",1052,29
"2019-06-01",20002,29
"2019-06-01",2602,29
"2019-06-01",8000012,29
"2019-06-01",7300015,27
"2019-06-01",8800008,27
"2019-06-01",7700048,26
"2019-06-01",8700020,25
"2019-06-01",7100033,23
"2019-06-01",8000001,23
"2019-06-01",20000,22
"2019-06-01",7700020,22
"2019-06-01",2064,21
"2019-06-01",7100057,20
"2019-06-01",1600,19
"2019-06-01",7100075,19
"2019-06-01",8700017,19
"2019-06-01",8000043,18
"2019-06-01",8000045,18
"2019-06-01",6508,17
"2019-06-01",6522,17
"2019-06-01",7700016,17
"2019-06-01",7700017,15
"2019-06-01",7100021,14
"2019-06-01",7100061,14
"2019-06-01",2604,13
"2019-06-01",7100074,12
"2019-06-01",7700019,12
"2019-06-01",9049,12
"2019-06-01",9103,11
"2019-06-01",2050,10
"2019-06-01",7100060,10
"2019-06-01",7100055,9
"2019-06-01",7100056,9
"2019-06-01",8800010,9
"2019-06-01",9010,9
"2019-06-01",2610,8
"2019-06-01",7100079,8
"2019-06-01",8000032,8
"2019-06-01",2612,7
"2019-06-01",5000413,7
"2019-06-01",7100059,7
"2019-06-01",7100078,7
"2019-06-01",7700050,7
"2019-06-01",9052,7
"2019-06-01",9105,7
"2019-06-01",7100076,6
"2019-06-01",5000074,5
"2019-06-01",6018,5
"2019-06-01",6019,5
"2019-06-01",9106,5
"2019-06-01",7100058,4
"2019-06-01",9013,4
"2019-06-01",6000072,3
"2019-06-01",6017,3
"2019-06-01",7700021,3
"2019-06-01",9055,3
"2019-06-01",20008,2
"2019-06-01",27001,2
"2019-06-01",5000891,2
"2019-06-01",7700049,2
"2019-06-01",8600011,2
"2019-06-01",8600016,2
"2019-06-01",8700004,2
"2019-06-01",8800001,2
"2019-06-01",8800002,2
"2019-06-01",1806,1
"2019-06-01",20007,1
"2019-06-01",2606,1
"2019-06-01",2614,1
"2019-06-01",27002,1
"2019-06-01",7100062,1
"2019-06-01",7300016,1
"2019-06-01",7300018,1
"2019-06-01",7700055,1
"2019-06-01",7700065,1
"2019-06-01",8600010,1
"2019-06-01",8600012,1
"2019-06-01",8700009,1
"2019-06-01",8700019,1
"2019-06-01",9053,1
"2019-06-01",9059,1
"2019-06-02",9008,479
"2019-06-02",6012,354
"2019-06-02",1050,128
"2019-06-02",2106,107
"2019-06-02",6011,96
"2019-06-02",7100023,91
"2019-06-02",1804,79
"2019-06-02",2700,68
"2019-06-02",7300015,56
"2019-06-02",6013,51
"2019-06-02",2602,49
"2019-06-02",30000,42
"2019-06-02",7900006,42
"2019-06-02",7300014,40
"2019-06-02",2100,39
"2019-06-02",1700,36
"2019-06-02",8800008,35
"2019-06-02",20000,32
"2019-06-02",9058,32
"2019-06-02",7300001,31
"2019-06-02",7100022,30
"2019-06-02",8000001,28
"2019-06-02",20006,26
"2019-06-02",7100036,26
"2019-06-02",7700048,26
"2019-06-02",20002,25
"2019-06-02",9010,25
"2019-06-02",1052,24
"2019-06-02",8000007,24
"2019-06-02",7300024,23
"2019-06-02",2604,22
"2019-06-02",6020,22
"2019-06-02",9049,21
"2019-06-02",7100033,20
"2019-06-02",7100055,20
"2019-06-02",8000013,19
"2019-06-02",7700016,18
"2019-06-02",7700020,18
"2019-06-02",2064,17
"2019-06-02",8000012,17
"2019-06-02",8000045,16
"2019-06-02",7100021,15
"2019-06-02",9013,14
"2019-06-02",1600,11
"2019-06-02",6522,11
"2019-06-02",7700017,11
"2019-06-02",8700020,11
"2019-06-02",6508,10
"2019-06-02",7100057,10
"2019-06-02",7100075,10
"2019-06-02",7100079,10
"2019-06-02",8000043,10
"2019-06-02",8700017,10
"2019-06-02",9052,10
"2019-06-02",2050,9
"2019-06-02",7700019,9
"2019-06-02",8800010,8
"2019-06-02",9103,8
"2019-06-02",2612,7
"2019-06-02",5000413,7
"2019-06-02",7100061,7
"2019-06-02",9106,7
"2019-06-02",5000074,6
"2019-06-02",6019,6
"2019-06-02",7700065,6
"2019-06-02",2610,5
"2019-06-02",6000072,5
"2019-06-02",6017,5
"2019-06-02",7100074,5
"2019-06-02",8000032,5
"2019-06-02",6018,4
"2019-06-02",7100056,4
"2019-06-02",7100059,4
"2019-06-02",7100060,4
"2019-06-02",7100078,4
"2019-06-02",7300016,4
"2019-06-02",7300018,4
"2019-06-02",7700050,4
"2019-06-02",9011,4
"2019-06-02",9055,4
"2019-06-02",7100076,3
"2019-06-02",7300025,3
"2019-06-02",7700021,3
"2019-06-02",8000049,3
"2019-06-02",8800001,3
"2019-06-02",8800002,3
"2019-06-02",9014,3
"2019-06-02",5000891,2
"2019-06-02",6021,2
"2019-06-02",7100058,2
"2019-06-02",7300026,2
"2019-06-02",7700058,2
"2019-06-02",8600010,2
"2019-06-02",8700004,2
"2019-06-02",8700009,2
"2019-06-02",9059,2
"2019-06-02",9105,2
"2019-06-02",27001,1
"2019-06-02",27002,1
"2019-06-02",6027,1
"2019-06-02",7100062,1
"2019-06-02",7300022,1
"2019-06-02",7700049,1
"2019-06-02",7700056,1
"2019-06-02",7700057,1
"2019-06-02",7700061,1
"2019-06-02",8000047,1
"2019-06-02",8600011,1
"2019-06-02",8700001,1
"2019-06-02",8700005,1
"2019-06-02",8700010,1
"2019-06-03",9008,282
"2019-06-03",6012,197
"2019-06-03",1050,87
"2019-06-03",6013,46
"2019-06-03",2106,45
"2019-06-03",1804,36
"2019-06-03",7100023,36
"2019-06-03",8800008,34
"2019-06-03",6011,29
"2019-06-03",7300015,24
"2019-06-03",2602,23
"2019-06-03",2700,20
"2019-06-03",1700,19
"2019-06-03",7100036,18
"2019-06-03",7100022,17
"2019-06-03",1052,16
"2019-06-03",7300014,16
"2019-06-03",8700020,15
"2019-06-03",7300001,14
"2019-06-03",8000007,14
"2019-06-03",1600,13
"2019-06-03",2604,12
"2019-06-03",20006,11
"2019-06-03",8000012,11
"2019-06-03",8000013,11
"2019-06-03",7100033,10
"2019-06-03",7300024,10
"2019-06-03",6020,9
"2019-06-03",2100,8
"2019-06-03",6508,8
"2019-06-03",7100061,8
"2019-06-03",7700048,8
"2019-06-03",8000001,8
"2019-06-03",8000045,8
"2019-06-03",8700017,8
"2019-06-03",20000,7
"2019-06-03",2064,7
"2019-06-03",7100075,7
"2019-06-03",7700020,7
"2019-06-03",8000043,7
"2019-06-03",9052,7
"2019-06-03",6522,6
"2019-06-03",7100021,6
"2019-06-03",7100078,6
"2019-06-03",9013,6
"2019-06-03",20002,5
"2019-06-03",2612,5
"2019-06-03",7100056,5
"2019-06-03",7100057,5
"2019-06-03",7100060,5
"2019-06-03",7100074,5
"2019-06-03",9103,5
"2019-06-03",7100055,4
"2019-06-03",7700016,4
"2019-06-03",8000032,4
"2019-06-03",8800001,4
"2019-06-03",8800010,4
"2019-06-03",9010,4
"2019-06-03",30000,3
"2019-06-03",5000074,3
"2019-06-03",6017,3
"2019-06-03",6019,3
"2019-06-03",7100079,3
"2019-06-03",7700021,3
"2019-06-03",7700050,3
"2019-06-03",7900006,3
"2019-06-03",8000049,3
"2019-06-03",9058,3
"2019-06-03",9106,3
"2019-06-03",20008,2
"2019-06-03",2610,2
"2019-06-03",27001,2
"2019-06-03",5000413,2
"2019-06-03",7100058,2
"2019-06-03",7100059,2
"2019-06-03",7700017,2
"2019-06-03",9059,2
"2019-06-03",1806,1
"2019-06-03",2050,1
"2019-06-03",2606,1
"2019-06-03",2614,1
"2019-06-03",6000072,1
"2019-06-03",6018,1
"2019-06-03",6021,1
"2019-06-03",7300005,1
"2019-06-03",7300016,1
"2019-06-03",7700019,1
"2019-06-03",7700055,1
"2019-06-03",7700058,1
"2019-06-03",8600010,1
"2019-06-03",8600016,1
"2019-06-03",8600021,1
"2019-06-03",8800002,1
"2019-06-03",9011,1
"2019-06-03",9049,1
"2019-06-03",9055,1
"2019-06-03",9105,1
"2019-06-04",9008,359
"2019-06-04",6012,234
